Open time,mempool_size,transaction_rate,market_cap_usd,average_block_size,market_price_usd,exchange_volume_usd,average_confirmation_time,hash_rate,difficulty,miners_revenue,total_transaction_fees
2021-09-04,545060.75,2.7583333333333333,942185854785.0084,0.8860538580645164,50035.33,364637470.90800005,7.599507257109872,135725446.49719596,17615033039279.0,49149539.307197995,11.994310480000005
2021-09-05,791276.0,2.45,943309125626.5625,0.8120517560975612,49947.38,190864422.66779998,9.814757126881492,143606278.8744525,17615033039279.0,52134864.51670021,10.480771349999998
2021-09-06,1618087.25,3.3833333333333333,974386337025.0,1.0879010000000002,51769.06,205763894.329,15.402422275721499,150611463.20979166,17615033039279.0,57266555.76617543,17.203333649999998
2021-09-07,2053832.0,3.3333333333333335,961481517390.6249,1.140718496732026,52677.4,345881388.722,22.101981208905567,133974150.41336119,17615033039279.0,50271634.77666399,18.45604694
2021-09-08,1991799.25,3.0166666666666666,870430714325.0,1.1255606971830985,46809.17,984208204.1449,30.891734452777193,129910433.67934506,18403887482923.086,41770433.46465715,14.707225099999995
2021-09-09,1889349.5,3.3083333333333336,870602094656.25,1.1926854306569343,46078.38,440223166.06020004,26.713990966788906,125412870.36132078,18415156832118.0,40368816.125831656,14.120404850000003
2021-09-10,2167867.25,3.1333333333333333,867798893162.5,1.1944763602941166,46368.69,315266287.5528,18.396266386303797,124497447.94992428,18415156832118.0,39761194.02916377,14.113327470000002
2021-09-11,1221223.75,2.4916666666666667,852502941743.75,1.0829645540540538,44847.48,348659557.6632,19.93199144288717,135482516.8866823,18415156832118.0,42455401.022459485,10.836634559999998
2021-09-12,673241.0,2.2666666666666666,862460214012.5001,0.8351191088435373,45144.79,133023638.214,9.303310439553345,134567094.4752858,18415156832118.0,42869858.34315411,8.565948659999995
2021-09-13,2487282.5,3.05,842436093050.0,1.0503387672955977,46059.12,137153005.1712,24.76488831353787,145552163.4120438,18415156832118.0,45344744.03230823,15.269039009999993
2021-09-14,1576797.25,3.025,864328804828.125,1.0378767321428573,44968.76,398357109.5228,18.61633249851987,153790965.11461234,18415156832118.0,49469863.80813275,14.832683929999996
2021-09-15,2526774.75,3.25,895481994000.0,1.3316786619718306,47072.12,260550303.57560003,19.550034992705495,129989982.41830327,18415156832118.0,43026873.39652887,17.058681740000008
2021-09-16,11789022.75,3.216666666666667,901734600000.0,1.5063900955882354,48167.85,241115251.78049996,43.08548386908629,124497447.94992428,18415156832118.0,41447857.65982055,16.78613933000001
2021-09-17,2518960.75,3.216666666666667,893837763474.5431,1.2240065986394557,47785.26,265469578.3722,29.066717621854476,134567094.4752858,18415156832118.0,45000740.70677981,14.980883859999997
2021-09-18,900615.0,2.7,908063855203.125,0.955009993548387,47263.6,233662730.952,10.668955594014106,141890473.7664578,18415156832118.0,47817679.60133659,11.593314779999996
2021-09-19,629933.75,2.2916666666666665,899017813206.25,0.7703830312499999,48259.45,171820050.213,7.258482745005462,146467585.8234403,18415156832118.0,48131991.96049828,8.247936459999996
2021-09-20,3480899.25,3.1083333333333334,833708958398.4375,1.214339067073171,47249.38,135623202.8706,18.254073835136353,150129275.4690263,18415156832118.0,46493150.405059814,13.886932009999986
2021-09-21,2671473.25,3.0583333333333336,805758536084.375,1.2201755365853661,42901.56,605141090.3304,22.886840150597312,113928907.44351819,18632996500113.82,33328734.036510628,14.776701429999996
2021-09-22,1599709.75,3.1083333333333334,795898620693.75,1.2345030895522386,40619.27,726831468.7551999,36.34376666749041,126546633.84005067,18997641161759.0,36087715.34087247,14.017972419999998
2021-09-23,1029229.25,3.2583333333333333,827979268200.0,1.0165784606060606,43604.76,355516148.994,11.17608420327866,155822347.6388684,18997641161759.0,46022168.07568965,13.782920530000004
2021-09-24,1453746.75,3.283333333333333,807776943150.0,1.205603175675676,44888.96,369977052.76799995,13.571897794180448,139767923.94274256,18997641161759.0,40572791.526409164,16.13218851
2021-09-25,731501.5,2.4916666666666667,801876193492.1875,0.8404593402777775,42815.56,594658890.506,18.393748239230202,135990412.4848306,18997641161759.0,38679199.26482163,8.549541450000003
2021-09-26,575313.0,2.283333333333333,811243323201.5625,0.9146582446043169,42742.01,132297206.4525,9.238376614593072,131268523.16244063,18997641161759.0,38084247.824875385,8.46447735
2021-09-27,1021159.75,3.075,818475105207.8125,1.051818432258064,43182.63,231309916.7265,10.879435390192814,146378568.99408844,18997641161759.0,43218816.609998696,12.663846300000005
2021-09-28,952651.75,3.25,787451536759.375,1.1844019605263156,42238.2,249740960.376,16.509569504243146,143545435.4006545,18997641161759.0,40399023.488103874,13.658091790000002
2021-09-29,3002861.5,2.9916666666666667,792178528494.1265,1.1511185461538471,41011.16,275833680.1512,31.684514563401997,122769122.38213871,18997641161759.0,34503900.23399902,11.298469129999996
2021-09-30,2446608.5,3.45,814439141140.3257,1.2539551754385967,41522.38,221224597.0592,22.0468778413737,161488614.82573634,18997641161759.0,46789306.0477054,14.77442647
2021-10-01,8796210.25,3.6166666666666667,890058477718.75,1.237001442857143,43757.81,360342502.3033,19.860022333214534,132212901.02691859,18997641161759.0,40884975.737541296,16.25074991
2021-10-02,713530.25,2.875,900395132656.25,0.9429064361702131,48140.11,688291406.5437,42.79770305273087,177543038.52186212,18997641161759.0,56739068.277852364,10.923895470000005
2021-10-03,868662.75,2.55,903475265150.0,0.9103214000000006,47727.1,184243787.756,12.464759143884438,141656679.6716985,18997641161759.0,45436120.54418755,9.994900940000004
2021-10-04,1699926.75,3.2333333333333334,900798902515.625,1.1672229230769233,48205.72,183312373.50120002,15.87027671448047,147411968.39584854,19009120698769.46,47639372.834770404,13.719330879999994
2021-10-05,4160061.75,3.7583333333333333,941211808875.0,1.274705579268293,49143.95,370887916.3315,27.065471489850335,162177735.83152118,19893045048575.0,52076953.33832859,15.293184800000008
2021-10-06,2936350.75,3.5583333333333336,969848734012.5,1.1967025877862592,51505.83,437607953.31240004,18.981546237971763,129544410.9385932,19893045048575.0,43942894.697324865,18.018722450000002
2021-10-07,21837031.0,3.4416666666666664,1021600219310.301,1.4300953475177307,55343.76,869275029.8808,146.5232939168086,139433297.2697835,19893045048575.0,49405388.008102894,26.94414508000001
2021-10-08,10622971.5,3.425,1024639629532.1458,1.4604280583333338,53801.1,402001281.18899995,114.89612486218053,118666635.97428384,19893045048575.0,41966394.782137804,20.667771960000007
2021-10-09,2660085.75,2.783333333333333,1033551389975.0,1.2898361066666668,53867.3,375062388.383,56.58146446313175,148333294.9678548,19893045048575.0,52134455.4356277,14.68665122
2021-10-10,646308.5,2.5,1040359332630.6477,0.8816028679245281,55122.59,168430381.1004,9.543869394469805,157233292.66592607,19893045048575.0,55625852.15177321,12.733580149999993
2021-10-11,8660506.5,3.425,1066720384153.125,1.266067712328767,54625.74,294613549.79940003,37.92222216266324,144377740.43537864,19893045048575.0,52898159.498963125,20.710443729999998
2021-10-12,3124040.75,3.35,1071930081843.75,1.3126619999999998,57452.01,350997309.894,28.367587739974493,132511076.83795026,19893045048575.0,48626582.2756845,19.08640434
2021-10-13,1067688.25,3.2333333333333334,1060238572703.125,1.1073083550295861,56242.94,516916488.0932001,24.69077666990289,167122178.99711636,19893045048575.0,60196305.44825861,16.82798138
2021-10-14,3567838.75,3.35,1085111520425.0,1.339773649635036,57406.69,471270462.4177,28.44400083541577,135477742.7373074,19893045048575.0,51775839.05997654,16.28899281
2021-10-15,3372460.5,3.725,1121749975734.375,1.2966171914893623,57397.74,339375043.3206,26.458343180051894,139433297.2697835,19893045048575.0,54670343.84247817,20.285905680000006
2021-10-16,1843323.25,2.9416666666666664,1155476959593.75,1.2955334060150374,61641.17,825023911.6309999,60.12977248361794,131522188.20483124,19893045048575.0,51917022.70940908,15.68890276
2021-10-17,881814.75,2.4833333333333334,1149144586093.75,0.9033513624999998,60948.78,263628462.4998,9.315967835745163,158222181.29904512,19893045048575.0,61555796.558050446,11.342677920000003
2021-10-18,1878801.75,3.5083333333333333,1168372785396.875,1.212650628378379,61546.21,271015042.96239996,16.348338100499618,146534419.32302314,19917361849675.434,58173901.823325954,15.829361489999997
2021-10-19,2208493.25,3.6083333333333334,1178952173437.5,1.3027479612903223,61971.59,753842251.6688,27.08049469226333,154737198.72913387,20082460130831.0,61804734.85684274,15.007076060000003
2021-10-20,2699457.25,3.4833333333333334,1207446889893.75,1.1791386644295303,64287.64,594456878.1812,20.686284102517963,148747371.68155453,20082460130831.0,61742492.207179874,18.745019660000004
2021-10-21,8231845.25,3.541666666666667,1221024182906.25,1.5127835810810817,66063.56,650092516.4596,86.84438322214169,147749067.17362463,20082460130831.0,60807152.14749298,20.276850739999993
2021-10-22,1088796.25,3.3666666666666667,1181047060659.375,1.1681894810126583,62354.86,917892845.9842,16.43436682172951,157732112.25292358,20082460130831.0,63205405.89871215,16.166762619999997
2021-10-23,732387.25,2.6916666666666664,1152176166731.25,1.0513427724137931,60697.06,529183068.8158,10.253970757843312,144754153.64983496,20082460130831.0,56004608.352318116,11.144983530000005
2021-10-24,560255.25,2.5,1146562373837.5,0.8392702941176471,61277.28,191872031.9088,9.201906547206226,152740589.71327412,20082460130831.0,58596760.65179703,8.981289720000005
2021-10-25,1329504.0,3.5250000000000004,1184020188587.5,1.1017196868131867,60884.18,228927561.009,10.515106914278517,181691420.4432411,20082460130831.0,74417752.58679873,14.023436650000006
2021-10-26,2330360.5,3.5583333333333336,1178951274525.0,1.21337114,63070.54,277562724.5482,19.400716051543327,149745676.18948442,20082460130831.0,59364122.89428637,13.725147509999998
2021-10-27,1356372.25,3.6416666666666666,1111647081981.25,1.1074765286624202,60345.17,379278445.2255,14.49974372421966,156733807.7449937,20082460130831.0,59080371.713124186,12.545418510000008
2021-10-28,1716229.5,3.591666666666667,1142322920335.725,1.2503326666666663,58538.49,590784490.3176,14.946783800134712,152740589.71327412,20082460130831.0,58309865.54726451,12.981785579999999
2021-10-29,935057.0,3.541666666666667,1161285643993.75,1.067304087719298,60587.09,692953330.3278999,14.912959563238939,170710070.85601225,20082460130831.0,68395070.2356678,15.656144510000003
2021-10-30,1001058.5,2.966666666666667,1162814977593.75,0.9866771935483871,62249.18,563700561.949,11.727510071228796,154737198.72913387,20082460130831.0,60386548.96774499,10.417670139999993
2021-10-31,1133644.75,2.65,1148308253573.4375,1.1186222733812943,61731.29,226334070.90760002,11.620853520404028,140175299.14944655,20286661027549.07,53663037.31103792,8.990319359999994
2021-11-01,2873299.0,3.6,1154257198467.1875,1.3150842770270275,61373.44,267709104.07680002,23.950074292958405,159350397.00608382,21659344833265.0,57638512.187306106,15.308688889999994
2021-11-02,6561841.25,3.7416666666666667,1190196538125.0,1.2504379936708858,61029.5,412970758.83,29.226205375666684,170117315.72271112,21659344833265.0,62861190.1269139,17.50019126999999
2021-11-03,1755332.0,3.6,1187328364537.5,1.179844459627329,63241.11,520838604.09360003,13.908851963336106,173347391.33769932,21659344833265.0,64240988.99089417,15.93237583999999
2021-11-04,4902198.0,3.3666666666666667,1165585208057.8125,1.3076002867132872,62954.86,424004759.3916,32.849127089435626,153966937.6477702,21659344833265.0,56277841.55081707,16.38430664
2021-11-05,2248840.0,3.466666666666667,1158048332015.625,1.2439429612903217,61441.83,282279127.4775,20.382490429586426,166887240.1077229,21659344833265.0,60649721.91761671,17.517448909999995
2021-11-06,597376.0,2.7333333333333334,1151926832306.25,0.9210429545454545,61072.32,261917194.44480002,8.030486907375714,165810548.2360602,21659344833265.0,59379244.680895254,10.765226660000003
2021-11-07,923959.25,2.6166666666666667,1170655466250.0002,0.9924809934640525,61516.31,211867708.1079,9.565397832835464,164733856.36439747,21659344833265.0,60030049.95190955,9.632717740000002
2021-11-08,15381902.75,3.8583333333333334,1244499427421.875,1.2731532074074072,63293.22,216409013.16300002,19.067224102898845,145353402.67446837,21659344833265.0,57270493.48673426,16.099207829999997
2021-11-09,19727524.5,3.716666666666667,1275859940771.875,1.473930407894737,67562.17,577118758.6268001,85.04673168284283,163657164.49273473,21659344833265.0,65840419.26028567,23.26600511
2021-11-10,6609213.5,3.6083333333333334,1260929315351.5625,1.3629159463087253,66954.11,466601853.5078,59.80485848085861,160427088.87774655,21659344833265.0,63548112.515628144,18.414890980000003
2021-11-11,1549470.5,3.4166666666666665,1224875229875.0,1.2304312025316457,64976.73,829053692.4852,34.54931309620372,170117315.72271112,21659344833265.0,65183349.254919946,15.55562963
2021-11-12,1599523.5,3.3083333333333336,1209175968993.75,1.2621017887323949,64838.81,309495740.16110003,19.36935099901454,152890245.77610743,21659344833265.0,57924016.809395894,14.885176439999997
2021-11-13,576325.0,2.8083333333333336,1206545111428.125,0.9687511372549014,64254.67,490505372.2059,9.902786252357703,164733856.36439747,21659344833265.0,62698179.56412874,10.69343882
2021-11-14,679906.25,2.575,1217615909038.1194,0.8807973885350316,64420.94,168246880.5792,7.780345044286605,175094161.92837763,22434990744236.72,65428799.071050175,8.671454749999999
2021-11-15,2236398.25,3.5,1239816017964.0625,1.3503540198675492,65468.75,214318500.0,16.590395895877236,170197841.36837798,22674148233453.0,63153343.37694485,12.660089460000002
2021-11-16,1505718.0,3.675,1144727455584.375,1.2594832133333336,63584.25,348327874.1925,19.17246386569594,169070703.34607086,22674148233453.0,58617039.19308355,12.979715739999996
2021-11-17,1798653.25,3.416666666666667,1129227826664.0625,1.3721297986577192,60172.26,831553555.683,17.13557345916644,167943565.3237637,22674148233453.0,56531418.51943135,13.464726200000007
2021-11-18,1804578.75,3.4833333333333334,1117430905889.5508,1.2678713680555558,60381.35,549940655.7165,18.286755831557716,162307875.21222803,22674148233453.0,53828907.24201124,11.7643974
2021-11-19,2955554.75,3.158333333333333,1080349031850.0,1.2758372335766426,56921.34,810589480.6968,20.799356270118963,154417909.05607805,22674148233453.0,49667132.61160643,13.201343350000004
2021-11-20,827023.75,2.8916666666666666,1105984473187.5002,1.049318048275862,58133.02,479879941.47720003,18.693389242370905,163435013.23453516,22674148233453.0,53936028.205529585,12.965309769999998
2021-11-21,1830257.0,2.6,1115523252812.5,1.1239917878787882,59777.98,233278784.7116,17.359665886809257,148782218.94454235,22674148233453.0,50108593.37844211,9.230594859999998
2021-11-22,3348644.0,3.45,1084127174899.8767,1.1951970070921982,58755.9,174269411.841,17.65264857319701,158926461.1453066,22674148233453.0,51325923.632378705,12.30824165
2021-11-23,1205217.0,3.5250000000000004,1074206110659.375,1.183716757575758,56301.52,494762556.34959996,15.852938492209384,148782218.94454235,22674148233453.0,48326099.813289404,12.288522640000002
2021-11-24,2167108.75,3.283333333333333,1069369027762.5,1.2455407070063693,57578.22,480199475.88900006,20.377604979579075,176960669.50222084,22674148233453.0,57141084.06903095,14.018671249999999
2021-11-25,2991981.0,3.25,1096543814100.0001,1.2444485769230769,57187.54,332409438.7548,29.698362050624446,146527942.89992806,22674148233453.0,48130860.01937926,14.858212929999997
2021-11-26,2098930.0,3.375,1030905027251.3064,1.3427292424242419,58935.45,289094884.176,36.22279747283126,148782218.94454235,22674148233453.0,46589569.53114692,14.573473770000003
2021-11-27,553782.5,2.8666666666666667,1033703612732.739,0.9227502447552447,53588.21,777492583.0165,10.112263087141429,161180737.1899209,22674148233453.0,49251516.20260195,8.44446976
2021-11-28,755242.25,2.4916666666666667,1026689382131.25,0.9679079568345328,54801.15,277078998.492,10.354652189229848,155225116.619112,22464723406485.65,47788162.453428775,7.360521070000003
2021-11-29,1392549.75,3.575,1085648392856.25,1.2171801048951045,57292.28,252736299.37800002,17.52308334417888,158774565.17985132,22335659268936.0,52131631.55640632,11.133598339999992
2021-11-30,1391216.75,3.55,1083268835756.25,1.2441733059701492,57828.45,367826530.49249995,19.664639510859704,148781760.37832215,22335659268936.0,48794504.356670626,12.639602539999998
2021-12-01,31616200.75,3.425,1079530962856.9691,1.4064161167883211,57025.79,522506214.22769994,41.92713614179503,152112695.31216523,22335659268936.0,50326073.90682207,20.561604789999997
2021-12-02,18232810.25,3.5,1068705628649.9999,1.5009869096774198,57229.76,479668944.2496,118.69997469418684,172098304.91522342,22335659268936.0,56025370.80177908,18.879180590000004
2021-12-03,1023562.25,3.408333333333333,1067048788971.875,1.0852969583333336,56508.48,431885271.2832,33.93388987463481,186532356.29520994,22335659268936.0,60163624.383973464,13.282582619999994
2021-12-04,1170664.5,3.1,905729737706.25,1.0918122903225806,53713.84,505379017.8231999,10.530998617320746,172098304.91522342,22335659268936.0,48318140.19851063,17.45400847999999
2021-12-05,1884503.25,2.3916666666666666,929301529696.875,1.2225265542168682,49253.86,1243669815.772,28.940246370548618,184311733.00598127,22335659268936.0,52043857.44207013,21.845509859999993
2021-12-06,629273.75,3.466666666666667,923701556250.0,1.0961228604651163,49380.43,618347670.1116,8.378765852590776,190973602.87366727,22335659268936.0,53085916.57636109,12.987698129999995
2021-12-07,1565195.75,3.4583333333333335,963571033368.75,1.207005727272727,50564.63,595736795.6247,10.909590087570026,170987993.2706091,22335659268936.0,49684990.70866684,11.38683329
2021-12-08,809361.25,3.2416666666666663,952607166956.25,0.9516034523809525,50645.41,308543486.1643,11.053347657941712,186532356.29520994,22335659268936.0,53150535.42389043,10.347112210000002
2021-12-09,11128338.25,3.291666666666667,930041147432.8125,1.3294133987730061,50511.12,301494308.8344,53.48563947257954,180980798.07213816,22335659268936.0,50546267.60547939,12.039403259999993
2021-12-10,1188620.25,3.1416666666666666,911550808020.137,1.0283575705128212,47659.68,355604123.5776,16.261015059024942,173208616.55983782,22335659268936.0,47537565.141738296,11.587516069999998
2021-12-11,645686.0,2.7583333333333333,916016102057.8125,0.8862376423841059,47137.46,337628656.4944,8.795423186301514,176161777.07292455,23468677477375.574,46068658.14190287,7.930528290000004
2021-12-12,656071.75,2.4416666666666664,933414887418.75,0.8631154714285717,49379.67,212503434.6582,8.166898790770386,168385593.54016247,24195286980614.0,43658657.58972005,6.5401876499999965
2021-12-13,2828698.75,3.2333333333333334,920207813868.75,1.1973467872340426,50117.25,202841550.615,22.73566245002768,169588347.7797351,24195286980614.0,43671664.546457544,12.937332479999995
